"Symbol  ","Series  ","Date  ","Prev Close  ","Open Price  ","High Price  ","Low Price  ","Last Price  ","Close Price  ","Average Price ","Total Traded Quantity  ","Turnover ₹  ","No. of Trades  ","Deliverable Qty  ","% Dly Qt to Traded Qty  "
"TCS","EQ","24-Feb-2025","3,786.00","3,743.15","3,763.20","3,670.00","3,671.00","3,675.60","3,701.20","25,08,516","9,28,45,23,845.20","1,72,279","18,28,578","72.89"
"TCS","EQ","25-Feb-2025","3,675.60","3,625.00","3,658.00","3,621.25","3,627.00","3,629.55","3,638.67","41,01,954","14,92,56,47,967.55","1,98,489","28,71,986","70.02"
"TCS","EQ","27-Feb-2025","3,629.55","3,611.70","3,638.00","3,600.70","3,608.05","3,612.55","3,613.50","38,23,856","13,81,74,96,735.80","2,12,465","30,58,793","79.99"
"TCS","EQ","28-Feb-2025","3,612.55","3,584.95","3,600.00","3,457.00","3,478.00","3,483.25","3,491.80","70,85,018","24,73,94,64,379.85","3,40,110","50,87,477","71.81"
"TCS","EQ","03-Mar-2025","3,483.25","3,485.00","3,523.25","3,476.15","3,506.00","3,493.05","3,497.97","49,90,439","17,45,63,99,246.20","2,48,034","39,03,959","78.23"
"TCS","EQ","04-Mar-2025","3,493.05","3,474.00","3,551.00","3,464.30","3,533.00","3,532.05","3,518.16","27,97,737","9,84,28,80,030.30","1,57,084","18,37,354","65.67"
"TCS","EQ","05-Mar-2025","3,532.05","3,520.85","3,600.35","3,520.85","3,557.00","3,547.05","3,561.68","25,01,894","8,91,09,37,236.55","1,45,336","16,95,934","67.79"
"TCS","EQ","06-Mar-2025","3,547.05","3,557.00","3,609.45","3,536.10","3,592.10","3,601.60","3,571.61","27,86,513","9,95,23,39,476.20","2,01,910","17,92,915","64.34"
"TCS","EQ","07-Mar-2025","3,601.60","3,600.00","3,625.00","3,574.40","3,602.00","3,611.20","3,605.34","20,51,315","7,39,56,90,221.35","1,31,372","13,92,501","67.88"
"TCS","EQ","10-Mar-2025","3,611.20","3,606.50","3,622.10","3,582.60","3,589.00","3,589.65","3,602.11","10,04,626","3,61,87,76,661.30","75,981","6,54,716","65.17"
"TCS","EQ","11-Mar-2025","3,589.65","3,558.00","3,588.75","3,537.65","3,585.00","3,575.30","3,567.93","19,95,450","7,11,96,17,263.55","1,42,820","13,05,684","65.43"
"TCS","EQ","12-Mar-2025","3,575.30","3,565.00","3,569.25","3,486.85","3,507.80","3,506.20","3,504.81","31,74,167","11,12,48,52,701.55","1,75,588","20,49,932","64.58"
"TCS","EQ","13-Mar-2025","3,506.20","3,502.30","3,524.30","3,484.10","3,509.05","3,511.05","3,504.71","16,93,004","5,93,34,91,139.45","98,963","10,74,125","63.44"
"TCS","EQ","17-Mar-2025","3,511.05","3,489.00","3,530.45","3,477.35","3,499.90","3,497.70","3,496.62","26,90,906","9,40,90,68,295.75","1,71,510","18,91,043","70.28"
"TCS","EQ","18-Mar-2025","3,497.70","3,502.35","3,556.95","3,478.45","3,545.65","3,552.45","3,530.44","30,69,109","10,83,52,99,304.90","1,39,204","20,47,199","66.70"
"TCS","EQ","19-Mar-2025","3,552.45","3,547.00","3,547.00","3,462.75","3,505.00","3,497.10","3,484.81","30,51,244","10,63,29,94,898.70","1,81,144","18,64,625","61.11"
"TCS","EQ","20-Mar-2025","3,497.10","3,512.00","3,578.95","3,512.00","3,556.50","3,563.15","3,559.81","28,45,192","10,12,83,43,015.65","1,56,792","18,73,064","65.83"
"TCS","EQ","21-Mar-2025","3,563.15","3,475.00","3,616.25","3,465.00","3,578.00","3,578.10","3,561.68","41,61,925","14,82,34,64,307.85","1,88,951","25,15,047","60.43"
"TCS","EQ","24-Mar-2025","3,578.10","3,600.00","3,649.75","3,566.60","3,633.00","3,628.95","3,615.19","18,34,751","6,63,29,70,557.70","1,07,825","11,06,270","60.30"
